iter	Passed	Remaining
0	1	1964
1	3	1975
2	5	1889
3	7	1796
4	8	1675
5	10	1704
6	12	1734
7	14	1753
8	16	1815
9	18	1824
10	19	1784
11	21	1796
12	23	1757
13	24	1721
14	25	1700
15	27	1674
16	29	1683
17	30	1678
18	32	1672
19	34	1667
20	35	1645
21	37	1646
22	38	1644
23	40	1645
24	42	1638
25	43	1620
26	44	1607
27	46	1602
28	47	1602
29	49	1602
30	50	1592
31	52	1576
32	53	1572
33	55	1570
34	56	1569
35	58	1565
36	60	1563
37	61	1560
38	62	1542
39	64	1542
40	65	1540
41	66	1527
42	68	1531
43	70	1522
44	71	1517
45	72	1512
46	73	1499
47	75	1493
48	77	1495
49	78	1490
50	79	1486
51	81	1480
52	82	1472
53	84	1474
54	85	1476
55	87	1472
56	88	1470
57	90	1468
58	92	1468
59	93	1468
60	95	1464
61	96	1454
62	97	1449
63	98	1444
64	100	1445
65	101	1439
66	103	1434
67	104	1429
68	105	1425
69	107	1421
70	108	1422
71	110	1422
72	111	1419
73	113	1415
74	114	1412
75	116	1411
76	117	1409
77	118	1402
78	119	1398
79	121	1395
80	122	1390
81	124	1390
82	125	1386
83	126	1380
84	127	1376
85	129	1373
86	130	1370
87	131	1366
88	133	1368
89	135	1366
90	136	1364
91	137	1360
92	139	1358
93	140	1357
94	142	1355
95	144	1359
96	145	1355
97	147	1356
98	149	1360
99	151	1359
100	152	1357
101	153	1351
102	155	1353
103	157	1357
104	159	1357
105	160	1355
106	162	1352
107	163	1353
108	165	1350
109	166	1347
110	167	1344
111	168	1337
112	170	1334
113	171	1335
114	172	1330
115	173	1324
116	175	1322
117	176	1319
118	177	1316
119	180	1320
120	181	1318
121	182	1312
122	183	1310
123	185	1307
124	186	1306
125	188	1306
126	189	1303
127	190	1301
128	191	1295
129	192	1291
130	193	1285
131	195	1286
132	197	1287
133	199	1286
134	201	1292
135	204	1296
136	206	1300
137	208	1300
138	209	1300
139	211	1298
140	212	1295
141	213	1292
142	215	1288
143	216	1286
144	218	1285
145	219	1281
146	220	1278
147	221	1276
148	223	1273
149	224	1272
150	226	1271
151	227	1268
152	228	1265
153	229	1263
154	231	1260
155	232	1259
156	234	1258
157	235	1255
158	236	1252
159	238	1250
160	239	1247
161	241	1247
162	242	1243
163	243	1241
164	244	1239
165	246	1237
166	247	1235
167	249	1235
168	250	1234
169	251	1228
170	253	1226
171	254	1225
172	256	1223
173	257	1220
174	258	1219
175	260	1218
176	261	1215
177	262	1213
178	264	1212
179	266	1211
180	267	1209
181	268	1207
182	270	1205
183	271	1203
184	272	1202
185	274	1200
186	275	1197
187	276	1195
188	278	1194
189	279	1192
190	281	1191
191	282	1189
192	284	1187
193	285	1185
194	286	1183
195	288	1183
196	289	1181
197	291	1179
198	292	1177
199	293	1175
200	295	1173
201	296	1172
202	298	1170
203	299	1166
204	300	1164
205	300	1160
206	302	1158
207	304	1157
208	305	1157
209	307	1156
210	308	1154
211	310	1152
212	311	1151
213	313	1149
214	314	1148
215	315	1146
216	317	1144
217	318	1142
218	319	1140
219	321	1138
220	322	1136
221	323	1134
222	325	1132
223	325	1129
224	327	1127
225	328	1126
226	330	1125
227	331	1123
228	332	1120
229	334	1118
230	335	1117
231	337	1116
232	338	1114
233	339	1112
234	340	1109
235	342	1107
236	343	1105
237	345	1104
238	346	1102
239	347	1100
240	348	1098
241	350	1096
242	351	1095
243	353	1094
244	354	1092
245	355	1090
246	357	1089
247	358	1086
248	359	1085
249	361	1084
250	362	1082
251	364	1080
252	365	1078
253	366	1077
254	368	1077
255	369	1075
256	371	1073
257	372	1071
258	374	1070
259	375	1068
260	376	1067
261	378	1065
262	379	1063
263	380	1061
264	382	1059
265	383	1058
266	385	1057
267	386	1055
268	387	1053
269	388	1050
270	389	1049
271	391	1047
272	392	1046
273	394	1044
274	395	1042
275	397	1041
276	398	1039
277	399	1038
278	401	1038
279	403	1036
280	404	1034
281	405	1032
282	407	1031
283	408	1030
284	410	1028
285	411	1027
286	412	1025
287	413	1022
288	414	1020
289	416	1019
290	417	1017
291	418	1014
292	420	1013
293	421	1012
294	423	1011
295	424	1010
296	426	1008
297	427	1007
298	428	1004
299	429	1001
300	430	999
301	432	998
302	432	995
303	434	994
304	435	992
305	436	991
306	438	989
307	439	986
308	440	985
309	441	983
310	442	980
311	444	979
312	445	978
313	446	975
314	448	975
315	449	973
316	451	971
317	451	969
318	453	967
319	454	965
320	456	964
321	457	963
322	458	960
323	459	959
324	461	957
325	462	956
326	464	955
327	465	954
328	467	953
329	468	951
330	470	950
331	471	949
332	473	947
333	474	945
334	475	944
335	477	943
336	478	941
337	480	940
338	481	939
339	483	937
340	484	936
341	485	934
342	487	933
343	488	932
344	490	931
345	491	929
346	492	927
347	494	925
348	495	924
349	497	923
350	498	922
351	500	920
352	501	919
353	503	918
354	504	917
355	506	915
356	507	914
357	509	912
358	510	911
359	512	910
360	513	908
361	514	906
362	515	904
363	516	902
364	518	901
365	519	900
366	521	898
367	522	897
368	523	895
369	525	894
370	525	891
371	527	890
372	529	889
373	530	887
374	531	886
375	532	884
376	534	882
377	535	881
378	537	880
379	538	878
380	539	877
381	541	875
382	542	874
383	544	873
384	545	871
385	546	869
386	548	868
387	549	866
388	551	866
389	553	865
390	554	863
391	555	862
392	557	860
393	558	859
394	559	857
395	561	856
396	562	854
397	564	853
398	565	851
399	567	850
400	568	849
401	569	847
402	571	845
403	572	843
404	573	842
405	575	841
406	576	839
407	577	838
408	579	836
409	580	835
410	581	833
411	583	832
412	584	831
413	586	829
414	587	828
415	588	826
416	590	825
417	591	824
418	593	822
419	594	821
420	596	819
421	597	818
422	599	817
423	601	816
424	602	815
425	604	814
426	606	813
427	607	812
428	608	810
429	610	808
430	611	807
431	613	806
432	614	804
433	616	803
434	617	801
435	618	800
436	619	797
437	620	796
438	622	795
439	623	793
440	624	792
441	626	790
442	627	789
443	629	787
444	630	786
445	632	785
446	633	783
447	634	782
448	635	779
449	636	778
450	638	777
451	639	775
452	641	774
453	642	772
454	643	771
455	645	769
456	646	768
457	648	767
458	650	766
459	651	764
460	652	763
461	654	761
462	655	759
463	656	758
464	657	756
465	659	755
466	660	753
467	661	752
468	663	751
469	664	749
470	665	747
471	667	746
472	668	745
473	670	743
474	671	742
475	673	740
476	674	739
477	675	737
478	676	735
479	677	734
480	679	733
481	680	731
482	682	730
483	683	728
484	685	727
485	686	726
486	688	724
487	689	723
488	690	721
489	692	720
490	693	719
491	695	717
492	696	716
493	697	714
494	698	712
495	700	711
496	701	710
497	703	709
498	704	707
499	706	706
500	707	704
501	709	703
502	710	702
503	712	700
504	713	699
505	714	697
506	716	696
507	717	695
508	719	693
509	720	692
510	721	690
511	723	689
512	724	687
513	726	686
514	727	685
515	728	683
516	730	682
517	731	680
518	733	679
519	734	677
520	735	676
521	737	674
522	738	673
523	739	672
524	741	670
525	742	669
526	744	667
527	745	666
528	746	664
529	748	663
530	749	662
531	751	660
532	752	659
533	753	657
534	755	656
535	756	654
536	758	653
537	759	652
538	760	650
539	761	648
540	763	647
541	764	646
542	766	644
543	767	643
544	768	641
545	769	639
546	770	638
547	772	636
548	772	634
549	774	633
550	775	631
551	776	630
552	777	628
553	779	627
554	780	625
555	781	624
556	783	622
557	784	621
558	785	619
559	786	618
560	788	617
561	790	615
562	791	614
563	793	613
564	794	612
565	797	611
566	798	609
567	800	608
568	801	607
569	802	605
570	804	604
571	805	602
572	807	601
573	808	600
574	809	598
575	810	596
576	811	595
577	813	593
578	814	592
579	816	591
580	817	589
581	818	588
582	820	586
583	821	585
584	823	584
585	824	582
586	826	581
587	827	579
588	829	578
589	830	577
590	831	575
591	832	574
592	834	572
593	835	571
594	837	569
595	838	568
596	840	567
597	841	565
598	842	564
599	844	562
600	845	561
601	847	560
602	848	558
603	849	557
604	850	555
605	852	554
606	853	552
607	855	551
608	856	549
609	857	548
610	858	546
611	860	545
612	861	544
613	863	542
614	864	541
615	865	539
616	867	538
617	868	536
618	870	535
619	871	534
620	872	532
621	874	531
622	875	530
623	877	528
624	878	527
625	880	525
626	881	524
627	882	522
628	884	521
629	885	520
630	887	518
631	888	517
632	889	515
633	891	514
634	893	513
635	894	511
636	895	510
637	897	509
638	898	507
639	900	506
640	901	504
641	902	503
642	904	502
643	905	500
644	906	499
645	908	497
646	910	496
647	911	495
648	912	493
649	913	492
650	914	490
651	916	489
652	917	487
653	918	486
654	919	484
655	921	483
656	922	481
657	924	480
658	925	479
659	927	477
660	928	476
661	929	474
662	931	473
663	933	472
664	934	470
665	935	469
666	936	467
667	938	466
668	939	464
669	941	463
670	942	462
671	944	460
672	945	459
673	946	457
674	948	456
675	949	455
676	951	453
677	952	452
678	953	450
679	955	449
680	957	448
681	959	447
682	960	445
683	961	444
684	963	443
685	965	441
686	966	440
687	968	439
688	969	437
689	971	436
690	973	435
691	974	433
692	976	432
693	977	431
694	979	429
695	981	428
696	982	427
697	984	425
698	985	424
699	987	423
700	988	421
701	990	420
702	991	418
703	991	416
704	993	415
705	994	414
706	996	412
707	997	411
708	999	410
709	1000	408
710	1001	407
711	1003	405
712	1004	404
713	1005	402
714	1006	401
715	1008	399
716	1009	398
717	1010	396
718	1012	395
719	1013	394
720	1015	392
721	1016	391
722	1017	389
723	1019	388
724	1020	387
725	1021	385
726	1023	384
727	1024	382
728	1025	381
729	1027	379
730	1028	378
731	1030	377
732	1031	375
733	1032	374
734	1033	372
735	1035	371
736	1037	370
737	1038	368
738	1039	367
739	1040	365
740	1042	364
741	1043	362
742	1045	361
743	1046	360
744	1047	358
745	1049	357
746	1050	355
747	1052	354
748	1053	353
749	1054	351
750	1056	350
751	1057	348
752	1059	347
753	1060	346
754	1061	344
755	1063	343
756	1064	341
757	1065	340
758	1067	338
759	1068	337
760	1070	336
761	1071	334
762	1072	333
763	1073	331
764	1075	330
765	1077	329
766	1078	327
767	1080	326
768	1081	324
769	1082	323
770	1083	321
771	1085	320
772	1086	319
773	1087	317
774	1089	316
775	1090	314
776	1092	313
777	1093	312
778	1094	310
779	1096	309
780	1097	307
781	1099	306
782	1100	305
783	1102	303
784	1103	302
785	1104	300
786	1106	299
787	1107	297
788	1109	296
789	1110	295
790	1111	293
791	1113	292
792	1114	290
793	1116	289
794	1117	288
795	1118	286
796	1120	285
797	1121	283
798	1123	282
799	1124	281
800	1125	279
801	1127	278
802	1128	276
803	1130	275
804	1131	274
805	1133	272
806	1134	271
807	1135	269
808	1137	268
809	1138	267
810	1140	265
811	1141	264
812	1143	262
813	1144	261
814	1146	260
815	1147	258
816	1149	257
817	1150	255
818	1151	254
819	1152	253
820	1154	251
